Summary,Outcome,Side,Unnamed: 3,case_summary
"The case involves a dispute over the adoption of Venkataramayya Appa Rao, the son of Raja Papamma Rao, by his stepmother, the 1st defendant. The plaintiff, Venkatadri Appa Rao, contests the validity of the adoption, claiming to be the rightful heir to the Zamindari of Nidadavole. The dispute centers on whether Venkataramayya's stepmother had the authority to make the adoption and whether Venkataramayya was eligible for adoption. Various arguments are presented regarding the interpretation of Hindu law texts and precedents.","The court rules against the plaintiff, upholding the validity of Venkataramayya's adoption. It finds that the stepmother lacked the authority to give her stepson in adoption under Hindu law. The court dismisses the plaintiff's objections, including concerns about Venkataramayya's age and prior inheritance, and concludes that the adoption was valid.",0,,"Key info:  The case involves a dispute over the adoption of Venkataramayya Appa Rao, the son of Raja Papamma Rao, by his stepmother, the 1st defendant. The plaintiff, Venkatadri Appa Rao, contests the validity of the adoption, claiming to be the rightful heir to the Zamindari of Nidadavole.. The court rules against the plaintiff, upholding the validity of Venkataramayya's adoption. It finds that the stepmother lacked the authority to give her stepson in adoption under Hindu law.."
"The case involves a dispute over the probate of a will purportedly left by Ponniya Muthu Nadathi, who passed away in June 1891. The appellant, her father, applied for probate, but the respondent, her husband, contested the authenticity of the will. The initial probate application was dismissed due to lack of instructions from the appellant's lawyer. Subsequently, the appellant made a second probate application, which was dismissed by the District Court on the grounds that a petition to set aside the previous order should have been filed first. The appellant then sought to set aside the order dismissing the original probate application, which was also rejected by the court.","In Civil Miscellaneous Appeal No. 139 of 1892, the court sets aside the order dismissing the second probate application, directing the District Court to restore the application for probate to the file and dispose of it on its merits. The appellant is awarded costs. In Civil Miscellaneous Appeal No. 130 of 1892, the court overturns the order imposing restrictions on the appellant's right to make a second probate application and construes that Section 261 of the Code of Civil Procedure does not apply to probate applications. No costs are awarded for this appeal.",1,,"Key info:  The case involves a dispute over the probate of a will purportedly left by Ponniya Muthu Nadathi, who passed away in June 1891. The appellant, her father, applied for probate, but the respondent, her husband, contested the authenticity of the will.. In Civil Miscellaneous Appeal No. 139 of 1892, the court sets aside the order dismissing the second probate application, directing the District Court to restore the application for probate to the file and dispose of it on its merits. The appellant is awarded costs.."
"The case involves a dispute over the distribution of certain properties outlined in Schedule A. The plaintiff had previously accepted a monetary settlement for his share of the properties. The defendant argued that this settlement should be upheld and that the plaintiff should not be entitled to claim a share in specific items listed in Schedule A. Additionally, there was a dispute over the ownership of moveable assets.The court upheld the defendant's argument regarding the plaintiff's acceptance of a monetary settlement for his share of the properties. As a result, the plaintiff's claim to certain items listed in Schedule A was disallowed. The court confirmed the decision of the Subordinate Judge on other aspects of the case. The appellant (defendant) was awarded the costs of the appeal, while the award of costs in the lower courts remained unchanged.","The court upheld the defendant's argument regarding the plaintiff's acceptance of a monetary settlement for his share of the properties. As a result, the plaintiff's claim to certain items listed in Schedule A was disallowed. The court confirmed the decision of the Subordinate Judge on other aspects of the case. The appellant (defendant) was awarded the costs of the appeal, while the award of costs in the lower courts remained unchanged.",0,,"Key info:  The case involves a dispute over the distribution of certain properties outlined in Schedule A. The plaintiff had previously accepted a monetary settlement for his share of the properties.. The court upheld the defendant's argument regarding the plaintiff's acceptance of a monetary settlement for his share of the properties. As a result, the plaintiff's claim to certain items listed in Schedule A was disallowed.."
"The appellant objected to the delivery of certain parcels of land in execution of a decree for the division of lands held in common by the parties. Both lower courts dismissed the application as barred by limitation. However, the appellant, being a minor at the time the right to apply accrued, argued that the application was timely under Section 7 of the Limitation Act. The respondent cited a Full Bench decision to argue against this, but the appellant contended that Section 7 applied to all applications for which a period of limitation is prescribed.","The court ruled in favor of the appellant, holding that the application was not time-barred under Section 7 of the Limitation Act. The orders of the lower courts were set aside, and the application was directed to be restored to the file for further proceedings.",1,,"Key info:  The appellant objected to the delivery of certain parcels of land in execution of a decree for the division of lands held in common by the parties. Both lower courts dismissed the application as barred by limitation.. The court ruled in favor of the appellant, holding that the application was not time-barred under Section 7 of the Limitation Act. The orders of the lower courts were set aside, and the application was directed to be restored to the file for further proceedings.."
"This is an appeal under Article 15 of the Letters Patent against an order by Mr. Justice Boddam refusing a stay of execution. The appellant sought to challenge this order, but a preliminary objection was raised that no appeal lies as the order does not constitute a judgment within the meaning of Article 5 of the Letters Patent. The appellant argued that the order should be considered a ""decree"" under Section 244 of the Civil Procedure Code, thus making it appealable.The court upheld the preliminary objection, ruling that the order refusing a stay of execution does not affect the merits of the question between the parties by determining any right or liability in dispute. Therefore, it does not qualify as a judgment under the Letters Patent. The appeal was dismissed, and costs were awarded against the appellant.","The court upheld the preliminary objection, ruling that the order refusing a stay of execution does not affect the merits of the question between the parties by determining any right or liability in dispute. Therefore, it does not qualify as a judgment under the Letters Patent. The appeal was dismissed, and costs were awarded against the appellant.",0,,"Key info:  This is an appeal under Article 15 of the Letters Patent against an order by Mr. Justice Boddam refusing a stay of execution. The appellant sought to challenge this order, but a preliminary objection was raised that no appeal lies as the order does not constitute a judgment within the meaning of Article 5 of the Letters Patent.. The court upheld the preliminary objection, ruling that the order refusing a stay of execution does not affect the merits of the question between the parties by determining any right or liability in dispute. Therefore, it does not qualify as a judgment under the Letters Patent.."
"This appeal arose from a suit brought on a foreign judgment obtained in the Court at Pondicherry, based on a promissory note executed by the appellant in favor of the respondent. The appellant contested the suit on the grounds that the District Court lacked jurisdiction and that the suit was not maintainable against the appellant at the time it was brought. The main argument was that the appellant was declared insolvent in Pondicherry, and therefore, no suit could be brought against him outside of French territory where the insolvency adjudication remained in force.The court ruled in favor of the appellant, finding that the District Court lacked jurisdiction over the appellant and that the suit was not maintainable against him due to his insolvency status in French territory. The decree of the lower court was reversed, and the suit was dismissed with costs awarded to the appellant throughout.","The court ruled in favor of the appellant, finding that the District Court lacked jurisdiction over the appellant and that the suit was not maintainable against him due to his insolvency status in French territory. The decree of the lower court was reversed, and the suit was dismissed with costs awarded to the appellant throughout.",1,,"Key info:  This appeal arose from a suit brought on a foreign judgment obtained in the Court at Pondicherry, based on a promissory note executed by the appellant in favor of the respondent. The appellant contested the suit on the grounds that the District Court lacked jurisdiction and that the suit was not maintainable against the appellant at the time it was brought.. The court ruled in favor of the appellant, finding that the District Court lacked jurisdiction over the appellant and that the suit was not maintainable against him due to his insolvency status in French territory. The decree of the lower court was reversed, and the suit was dismissed with costs awarded to the appellant throughout.."
"The issue revolved around the admissibility of a document containing a personal covenant to pay and purporting to be a mortgage, but not fulfilling the requirements of registration or attestation under relevant laws. The first question was whether such a document could be admitted as evidence of the contract to pay despite lacking registration, which was affirmed. The second question concerned the admissibility due to lack of attestation, with diverging views from different courts. Ultimately, the court concluded that Section 68 of the Indian Evidence Act did not apply to documents lacking attestation and affirmed the admissibility of such documents.","The court held that the lack of registration does not render the document inadmissible as evidence of the contract to pay.
Regarding attestation, it was concluded that Section 68 of the Indian Evidence Act does not apply to documents not attested at all. Therefore, such documents can be admitted as evidence of the contract to pay.",1,,"Key info:  The issue revolved around the admissibility of a document containing a personal covenant to pay and purporting to be a mortgage, but not fulfilling the requirements of registration or attestation under relevant laws. The first question was whether such a document could be admitted as evidence of the contract to pay despite lacking registration, which was affirmed.. The court held that the lack of registration does not render the document inadmissible as evidence of the contract to pay.
 Regarding attestation, it was concluded that Section 68 of the Indian Evidence Act does not apply to documents not attested at all.."
"The appellants were convicted for various offenses under the Indian Penal Code (IPC) related to assaulting and injuring the victim. The incident stemmed from a verbal altercation during a volleyball match. The victim suffered severe injuries including severed limbs. Both appellants challenged their convictions through multiple levels of appeal, but all were unsuccessful. However, the appellants later sought to compound their offenses based on a mutual resolution with the victim. Considering this, the Supreme Court reduced their sentences to the period already served, leading to their release.","The appellants sought special leave to appeal against the High Court's decision, but also pursued a compromise with the victim for compounding of their offenses. Considering the compromise and other factors, the Supreme Court partly allowed the appeals, reducing the appellants' sentences to the period already served. Consequently, they were released from custody.",1,,"Key info:  The appellants were convicted for various offenses under the Indian Penal Code (IPC) related to assaulting and injuring the victim. The incident stemmed from a verbal altercation during a volleyball match.. The appellants sought special leave to appeal against the High Court's decision, but also pursued a compromise with the victim for compounding of their offenses. Considering the compromise and other factors, the Supreme Court partly allowed the appeals, reducing the appellants' sentences to the period already served.."
"Anil Mahto and Jatu Mahto died from injuries in a land dispute assault. Appellants Mihir and Prabhat Gope, sons of Manohar Gope, were convicted of various IPC offenses including murder. The prosecution's case implicated members of the Gope family in the assault, leading to the deaths of Anil and Jatu. Despite discrepancies in witness testimonies, the trial court and High Court upheld the convictions. However, the Supreme Court acquitted the appellants of murder charges but convicted them under Section 324 IPC for causing hurt with weapons.","The Supreme Court set aside the murder convictions of Mihir and Prabhat Gope, as well as other charges under Sections 302, 307, 325, and 341 of the IPC. However, they were convicted under Section 324 IPC for voluntarily causing hurt. The court imposed a sentence of three years rigorous imprisonment on both appellants for the offense under Section 324 IPC.",1,,"Key info:  Anil Mahto and Jatu Mahto died from injuries in a land dispute assault. Appellants Mihir and Prabhat Gope, sons of Manohar Gope, were convicted of various IPC offenses including murder.. The Supreme Court set aside the murder convictions of Mihir and Prabhat Gope, as well as other charges under Sections 302, 307, 325, and 341 of the IPC. However, they were convicted under Section 324 IPC for voluntarily causing hurt.."
"The appellant was accused of firing at the complainant with a country-made pistol outside his house. However, discrepancies emerged in witness statements regarding the sequence of events, including the presence of the complainant's mother during the incident. Moreover, contradictions were noted in the testimony of witnesses regarding the seizure of the motorcycle allegedly used in the crime. The appellant denied the charges and provided an alibi, stating he was elsewhere at the time of the incident. The High Court, noting the lack of corroborating evidence and inconsistencies in the prosecution's case, acquitted the appellant.","The High Court allowed the appeal, setting aside the appellant's conviction and sentence. The appellant, who was on bail, was discharged from the bail bonds.",1,,"Key info:  The appellant was accused of firing at the complainant with a country-made pistol outside his house. However, discrepancies emerged in witness statements regarding the sequence of events, including the presence of the complainant's mother during the incident.. The High Court allowed the appeal, setting aside the appellant's conviction and sentence. The appellant, who was on bail, was discharged from the bail bonds.."
"The prosecution alleged that the appellant and his associate were found hiding in a village, surrounded by police. After a confrontation, the appellant surrendered along with his associate, and firearms were recovered. Both were convicted by the trial court under Section 307/34 IPC read with Section 3/25(1B)(a) and Section 27/34 of the Arms Act. The High Court upheld the conviction, leading to an appeal. However, discrepancies arose in witness testimonies regarding the appellant's involvement in firing at the police. Independent witnesses did not support the prosecution's case, and doubts were raised regarding the arrest and seizure procedures. The Supreme Court ultimately acquitted the appellant of the charges under Section 307/34 IPC and Section 27 of the Arms Act, finding insufficient evidence to prove guilt beyond reasonable doubt.","The Supreme Court allowed the appeal in part, setting aside the appellant's conviction and sentence under Section 307/34 IPC and Section 27 of the Arms Act. The appellant was acquitted of these charges but remained convicted under Section 25(1B)(a) of the Arms Act, for which he had already served the sentence.",1,,"Key info:  The prosecution alleged that the appellant and his associate were found hiding in a village, surrounded by police. After a confrontation, the appellant surrendered along with his associate, and firearms were recovered.. The Supreme Court allowed the appeal in part, setting aside the appellant's conviction and sentence under Section 307/34 IPC and Section 27 of the Arms Act. The appellant was acquitted of these charges but remained convicted under Section 25(1B)(a) of the Arms Act, for which he had already served the sentence.."
"Two FIRs were registered regarding a violent incident involving the complainant seeking the return of money and a subsequent retaliatory attack resulting in casualties. Accusations of armed confrontation and indiscriminate firing were made by both parties involved. The accused sought bail, which was granted by the High Court, prompting the complainant to appeal. The Supreme Court set aside the bail orders and canceled the bail bonds, ordering the accused to be taken into custody. Additionally, the appeals related to anticipatory bail were dismissed, and interim orders were dissolved. The appellants were given the option to surrender and apply for regular bail, leaving all further considerations to the trial court or High Court.","The Supreme Court allowed the appeals, nullifying the bail granted by the High Court, and dismissed the appeals related to anticipatory bail. The accused were ordered to surrender and seek regular bail if desired, while all further legal considerations were left open for the trial court or High Court to decide.",0,,"Key info:  Two FIRs were registered regarding a violent incident involving the complainant seeking the return of money and a subsequent retaliatory attack resulting in casualties. Accusations of armed confrontation and indiscriminate firing were made by both parties involved.. The Supreme Court allowed the appeals, nullifying the bail granted by the High Court, and dismissed the appeals related to anticipatory bail. The accused were ordered to surrender and seek regular bail if desired, while all further legal considerations were left open for the trial court or High Court to decide.."
"The appellant was convicted for the brutal rape and murder of a seven-year-old girl, whose body was recovered at his instance. Despite the defense's contentions, circumstantial evidence overwhelmingly implicated the appellant, including his last sighting with the victim and failure to explain his whereabouts convincingly. Both the Trial Court and the High Court upheld his conviction, concluding that the evidence met the standards set by precedents like Sharad Birdhichand Sarda. The Supreme Court, while rejecting the appeal against conviction, commuted the death sentence to life imprisonment with a minimum term of 30 years, considering factors such as the absence of criminal antecedents and the possibility of reformation.","The Supreme Court upheld the appellant's conviction for rape, murder, and related charges but commuted the death sentence to life imprisonment with a minimum term of 30 years. The confirmation of the other sentences and the direction for payment of fine were also upheld.",0,,"Key info:  The appellant was convicted for the brutal rape and murder of a seven-year-old girl, whose body was recovered at his instance. Despite the defense's contentions, circumstantial evidence overwhelmingly implicated the appellant, including his last sighting with the victim and failure to explain his whereabouts convincingly.. The Supreme Court upheld the appellant's conviction for rape, murder, and related charges but commuted the death sentence to life imprisonment with a minimum term of 30 years. The confirmation of the other sentences and the direction for payment of fine were also upheld.."
"The court directed the appellant to perform certain actions, including visiting the complainant's house with Rakhi thread, sweets, and money, without influencing the pending trial. The appellant's submissions regarding inappropriate bail conditions and judicial remarks in cases of sexual offenses led to the court issuing directives to safeguard complainants and prevent stereotypical or patriarchal notions from influencing bail decisions. The court emphasized the need for sensitivity and gender sensitization in judicial proceedings and mandated training programs for judges and legal professionals on these issues.","The court set aside and expunged the bail conditions mentioned in the judgment, issuing comprehensive directives to ensure fairness, sensitivity, and gender sensitization in judicial proceedings related to sexual offenses. The appeal was disposed of without any costs.",1,,"Key info:  The court directed the appellant to perform certain actions, including visiting the complainant's house with Rakhi thread, sweets, and money, without influencing the pending trial. The appellant's submissions regarding inappropriate bail conditions and judicial remarks in cases of sexual offenses led to the court issuing directives to safeguard complainants and prevent stereotypical or patriarchal notions from influencing bail decisions.. The court set aside and expunged the bail conditions mentioned in the judgment, issuing comprehensive directives to ensure fairness, sensitivity, and gender sensitization in judicial proceedings related to sexual offenses. The appeal was disposed of without any costs.."
"The appellant filed an FIR against several respondents for various offenses including murder. The Sessions Court denied bail to the respondents after considering the evidence and witness statements. However, the High Court granted bail to the respondents based on incorrect facts, stating that they were not named in the FIR and that witness statements were recorded belatedly. The appellant challenged this decision, arguing that the High Court erred in its assessment of the facts. The Supreme Court agreed with the appellant, quashing the High Court's bail order and directing the respondents to surrender. The Trial Court was instructed to proceed with the trial based on the evidence presented by both sides.","The Supreme Court allowed the appeals, setting aside the High Court's bail order and directing the respondents to surrender. The Trial Court was instructed to continue with the trial according to the evidence presented.",1,,"Key info:  The appellant filed an FIR against several respondents for various offenses including murder. The Sessions Court denied bail to the respondents after considering the evidence and witness statements.. The Supreme Court allowed the appeals, setting aside the High Court's bail order and directing the respondents to surrender. The Trial Court was instructed to continue with the trial according to the evidence presented.."
"The appellant and the deceased were involved in a scuffle allegedly triggered by the theft of a pigeon belonging to the appellant. During the altercation, the co-accused struck the deceased with a rod, resulting in his death. The High Court found that the incident was a sudden fight arising from a quarrel and not a premeditated act. Both the appellant and the deceased had consumed alcohol prior to the altercation. The High Court modified the appellant's conviction from Section 302 IPC to Section 304 Part-I IPC, considering it culpable homicide not amounting to murder. The appellant was sentenced to 12 years of rigorous imprisonment and fined Rs. 10,000 for the offense under Section 304 Part-I IPC. The appellant's conviction under Section 201 IPC and the corresponding sentence were upheld.","The appeals were partially allowed, modifying the appellant's conviction to Section 304 Part-II IPC and reducing the sentence to seven years of rigorous imprisonment. The fine imposed by the High Court was maintained. The conviction and sentence under Section 201 IPC were also upheld.",1,,"Key info:  The appellant and the deceased were involved in a scuffle allegedly triggered by the theft of a pigeon belonging to the appellant. During the altercation, the co-accused struck the deceased with a rod, resulting in his death.. The appeals were partially allowed, modifying the appellant's conviction to Section 304 Part-II IPC and reducing the sentence to seven years of rigorous imprisonment. The fine imposed by the High Court was maintained.."
"The appellant, a victim of a road accident caused by the rash and negligent driving of a lorry insured by the second respondent, appealed against the compensation awarded for his disability sustained in the accident. The Tribunal found the accident was due to the lorry driver's negligence and determined the appellant's disability at 33%. However, it also found the appellant had contributed 50% negligence due to being under the influence of alcohol. The Tribunal awarded compensation based on a monthly income of Rs. 6,000 and a multiplier of 17, totaling Rs. 4,37,920. The High Court set aside the Tribunal's calculation for loss of earning and attendant charges, awarding higher amounts based on Supreme Court precedents. The appellant was directed to pay the requisite court fee within two weeks, failing which the Tribunal would deduct it from the compensation awarded. The Insurance company was directed to deposit the modified award amount within six weeks, and the Tribunal would transfer the sum to the appellant's account.",The appellant succeeded in obtaining a higher compensation amount for loss of earning and attendant charges based on Supreme Court precedents. The court upheld the directive for the appellant to pay court fees and instructed the Insurance company to deposit the modified award amount within six weeks.,1,,"Key info:  The appellant, a victim of a road accident caused by the rash and negligent driving of a lorry insured by the second respondent, appealed against the compensation awarded for his disability sustained in the accident. The Tribunal found the accident was due to the lorry driver's negligence and determined the appellant's disability at 33%.. The appellant succeeded in obtaining a higher compensation amount for loss of earning and attendant charges based on Supreme Court precedents. The court upheld the directive for the appellant to pay court fees and instructed the Insurance company to deposit the modified award amount within six weeks.."
"The appellants, representing the legal heirs of the deceased K. Murugan, filed a claim petition seeking compensation for his death in an accident. The Tribunal re-quantified the compensation to Rs. 10,00,000, enhancing it from Rs. 3,50,000. The 2nd respondent was directed to pay the enhanced amount of Rs. 6,50,000 with 7.5% interest per annum within six weeks. The appellants were instructed to pay the deficit court fee on the enhanced amount. Since the 1st appellant (deceased) passed away during the appeal, the 2nd to 4th appellants were entitled to succeed to his estate and withdraw his share of the compensation. The appeal was allowed with no costs.","The appellants succeeded in obtaining an enhanced compensation amount, and the appeal was allowed without any costs.",1,,"Key info:  The appellants, representing the legal heirs of the deceased K. Murugan, filed a claim petition seeking compensation for his death in an accident. The Tribunal re-quantified the compensation to Rs. 10,00,000, enhancing it from Rs. 3,50,000.. The appellants succeeded in obtaining an enhanced compensation amount, and the appeal was allowed without any costs.."
"The claimant filed a claim petition seeking compensation for injuries sustained in an accident involving a Bolero Jeep. The Insurance Company argued that the accident occurred due to the negligence of the truck driver. The Tribunal found that the claimant was not the owner of the vehicle but an employee of the company. It also analyzed the insurance policy terms, concluding that additional premium was required to cover liability to employees. The Court directed the IRDA to clarify certain queries regarding insurance coverage. Regarding compensation quantum, the claimant argued for a higher monthly income, supported by pay certificates and tax returns. The Court directed the Tribunal to transfer the awarded amount to the claimant's bank account and dismissed the claimant's appeal while allowing the Insurance Company's appeal.","The Insurance Company's appeal was allowed, and the claimant's appeal was dismissed. The compensation amount was determined based on the claimant's monthly income as supported by documentation.",0,,"Key info:  The claimant filed a claim petition seeking compensation for injuries sustained in an accident involving a Bolero Jeep. The Insurance Company argued that the accident occurred due to the negligence of the truck driver.. The Insurance Company's appeal was allowed, and the claimant's appeal was dismissed. The compensation amount was determined based on the claimant's monthly income as supported by documentation.."
"The writ petitioner, the son of a deceased government employee, sought compassionate appointment nine years after his father's death due to the family's financial difficulties. The petitioner argued that the delay was due to a ban on appointments. However, the court held that the delay was substantial and not justified. It emphasized that compassionate appointment is an exception and cannot be claimed as a legal right. The court also highlighted concerns about equal opportunity in public employment and the potential negative impact of expanding compassionate appointment schemes on merit-based selection processes. Ultimately, the court dismissed the writ petition, affirming the decision of the authorities.

Key Points:

The petitioner sought compassionate appointment nine years after his father's death.
The court rejected the argument that a ban on appointments justified the delay.
Compassionate appointment is considered an exception, not a legal right.
The court expressed concerns about equal opportunity and merit-based selection processes.
The court dismissed the writ petition, affirming the decision of the authorities.","The writ petition was dismissed, and no costs were awarded. The connected miscellaneous petition was also dismissed.",0,,"Key info:  The writ petitioner, the son of a deceased government employee, sought compassionate appointment nine years after his father's death due to the family's financial difficulties. The petitioner argued that the delay was due to a ban on appointments.. The writ petition was dismissed, and no costs were awarded. The connected miscellaneous petition was also dismissed.."
"In this case, the petitioner filed a return of income for Assessment Year (AY) 2012-13, followed by a revised return. An intimation was issued under Section 143(1) of the Income Tax Act, denying the foreign tax credit claimed by the petitioner. Subsequently, a notice under Section 143(2) was issued, but assessment proceedings did not culminate in an order under Section 143(3).

The petitioner informed the assessing authority of the amalgamation of Asianet Communication Private Limited (ACPL) with Vijay Television Private Limited (VTPL), resulting in the formation of Asianet Star Communication Private Limited (ASCPL). The petitioner also changed its business address, which was duly intimated to the respondent.

Despite these notifications, a notice under Section 148 was issued in the name of ACPL to an address where no such entity existed. The petitioner, following the procedure outlined in the GKN Driveshafts case, submitted a revised return and sought reasons for the reassessment jurisdiction. The petitioner reiterated the merger and name change to ASCPL.

The reasons for reassessment included the claim of depreciation on computers and an alleged excess relief of tax credit under Section 90/91 of the Act. The petitioner objected to the assumption of jurisdiction, arguing that there was no new or tangible material warranting reassessment. The petitioner also contested the categorization of computers for depreciation purposes, stating that all computers should be classified under 'Machinery and Plant' for depreciation at 60%.","The court quashed the impugned notice, reasons for reassessment, subsequent notice, and order rejecting the assumption of jurisdiction under Section 147 of the Act. The court held that the reasons for reassessment were insufficient and did not justify the initiation of reassessment proceedings. Additionally, the court noted that the decisions relied upon by the revenue were distinguishable, as they did not adequately address the issues raised by the petitioner. Therefore, the writ petition was allowed, with no costs awarded to either party.",1,,"Key info:  In this case, the petitioner filed a return of income for Assessment Year (AY) 2012-13, followed by a revised return. An intimation was issued under Section 143(1) of the Income Tax Act, denying the foreign tax credit claimed by the petitioner.. The court quashed the impugned notice, reasons for reassessment, subsequent notice, and order rejecting the assumption of jurisdiction under Section 147 of the Act. The court held that the reasons for reassessment were insufficient and did not justify the initiation of reassessment proceedings.."
"Issue: The CIT(A) did not acknowledge that Explanation 5A to section u/s. 271(1)(c) of the Income Tax Act applies to the Assessee as additional income of Rs.1,58,98,570/- was disclosed in the return of income filed post-search, which was not declared in the original return of income.

Tribunal Decision: The Tribunal allowed the Revenue's appeal, restoring the penalty on two grounds: alleged non-disclosure of income and voluntary surrender of income. The Tribunal also restored the penalty for the disallowance of Rs.13,000/- under Section 40(a)(ia) of the Act.

Judicial Direction: It is decided that the AO should compute the penalty, considering the situation where no return was filed on 30.11.2006, while allowing credit for advance tax.","The order passed by the Tribunal is set aside, and the Tribunal is requested to decide the appeal again after providing an opportunity to both parties to present their case on the grounds raised by the Revenue.",0,,"Key info:  Issue: The CIT(A) did not acknowledge that Explanation 5A to section u/s. 271(1)(c) of the Income Tax Act applies to the Assessee as additional income of Rs.1,58,98,570/- was disclosed in the return of income filed post-search, which was not declared in the original return of income.

 Tribunal Decision: The Tribunal allowed the Revenue's appeal, restoring the penalty on two grounds: alleged non-disclosure of income and voluntary surrender of income.. The order passed by the Tribunal is set aside, and the Tribunal is requested to decide the appeal again after providing an opportunity to both parties to present their case on the grounds raised by the Revenue.."
"The respondent filed two suits against the appellant: C.S. No. 831 of 2005 and C.S. No. 833 of 2005. These suits sought permanent injunctions against the appellant, preventing them from alienating or encumbering certain properties to third parties. The suits arose from agreements of sale dated 27.07.2005 between the parties. The appellant, citing a notice from the Central Excise Department, claimed inability to proceed with the sale transaction, leading to the respondent filing the suits for injunctions.

The court considered whether the suits should be rejected under Order VII Rule 11 of the Civil Procedure Code (CPC) due to the properties being outside the court's territorial jurisdiction. The court also addressed applications for amendment of the plaints and exclusion of certain periods for computing limitation. Ultimately, the court set aside previous orders and allowed the appeals, finding that the suits fell under the classification of ""suits for land"" and thus the court lacked territorial jurisdiction.",The court set aside previous orders and allowed the appeals.,1,,"Key info:  The respondent filed two suits against the appellant: C.S. No. 831 of 2005 and C.S. No. 833 of 2005. These suits sought permanent injunctions against the appellant, preventing them from alienating or encumbering certain properties to third parties.. The court set aside previous orders and allowed the appeals.."
"The appellants, acting as legal representatives of the deceased K. Murugan, filed a claim petition seeking enhanced compensation for his death in an accident. The court re-quantified the compensation at Rs. 10,00,000/- and directed the second respondent to pay the enhanced amount of Rs. 6,50,000/- along with interest. Additionally, the appellants were directed to pay the deficit court fee on the enhanced compensation amount within two weeks. Since the first appellant (deceased) passed away during the appeal process, the second to fourth appellants were entitled to succeed to his estate equally and withdraw their respective shares. The court allowed the appeal and no costs were imposed.","The Civil Miscellaneous Appeal was allowed in favor of the appellants.
The appellants prevailed as the court ruled in their favor, granting the enhanced compensation and allowing them to withdraw their shares of the estate.






",1,,"Key info:  The appellants, acting as legal representatives of the deceased K. Murugan, filed a claim petition seeking enhanced compensation for his death in an accident. The court re-quantified the compensation at Rs. 10,00,000/- and directed the second respondent to pay the enhanced amount of Rs. 6,50,000/- along with interest.. The Civil Miscellaneous Appeal was allowed in favor of the appellants.
 The appellants prevailed as the court ruled in their favor, granting the enhanced compensation and allowing them to withdraw their shares of the estate.






."
"The accident occurred on 06.08.2009 at Pidagam Bridge, resulting in the death of one person and injuries to two others traveling in a Tata Indica Car. Claim petitions were filed, and the Tribunal adjudicated based on evidence provided. The Insurance Company argued that since the policy was an Act policy, there was no coverage for passengers. Relying on precedent cases, the court set aside the High Court's order and restored the Motor Accident Claims Tribunal's (M.A.C.T) decision. It emphasized that compensation should be sought from the vehicle owner, not the Insurance Company. The Civil Miscellaneous Appeal was allowed, permitting the claimants to execute the compensation award against the vehicle owner. The Insurance Company was allowed to withdraw the deposited amount with accrued interest. No costs were imposed.","The Civil Miscellaneous Appeal was allowed in favor of the Insurance Company.
The Insurance Company prevailed as the court ruled that compensation should be sought from the vehicle owner, not the Insurance Company.",0,,"Key info:  The accident occurred on 06.08.2009 at Pidagam Bridge, resulting in the death of one person and injuries to two others traveling in a Tata Indica Car. Claim petitions were filed, and the Tribunal adjudicated based on evidence provided.. The Civil Miscellaneous Appeal was allowed in favor of the Insurance Company.
 The Insurance Company prevailed as the court ruled that compensation should be sought from the vehicle owner, not the Insurance Company.."
"The accused was accused of beating his daughter with dangerous weapons and raping her multiple times, with the last incident occurring on 30.08.2013. Charges were framed under various sections of the Indian Penal Code (IPC) and the Juvenile Justice Act. The prosecution presented 12 witnesses and 16 documents as evidence, including forensic reports. The accused pleaded not guilty and denied the allegations during questioning under Section 313 of the Code of Criminal Procedure. The trial court found him guilty and sentenced him to life imprisonment under Section 376(2)(f) of the IPC. However, on appeal, the sentence was modified to 20 years of rigorous imprisonment.","The appeal was partially allowed, with the conviction of the accused affirmed but the sentence modified to 20 years of rigorous imprisonment for the offence under Section 376(2)(f) of the IPC.",1,,"Key info:  The accused was accused of beating his daughter with dangerous weapons and raping her multiple times, with the last incident occurring on 30.08.2013. Charges were framed under various sections of the Indian Penal Code (IPC) and the Juvenile Justice Act.. The appeal was partially allowed, with the conviction of the accused affirmed but the sentence modified to 20 years of rigorous imprisonment for the offence under Section 376(2)(f) of the IPC.."
