case_id,summary,side
41,"This case involves an employee (referred to as ""the respondent"") who was accused of sexual harassment and attempted molestation of a female subordinate employee (""Miss X"") in the organization where he held a superior position. The allegations against the respondent were substantiated through an internal inquiry process, and he was subsequently removed from service by the disciplinary authority.

The respondent challenged his removal from service before the High Court, arguing that the punishment was disproportionate to the alleged offense. The High Court, while acknowledging the occurrence and the inappropriate behavior of the respondent, took a lenient view and directed his reinstatement in service without back wages.

However, the decision of the High Court was appealed, and the Division Bench upheld the disciplinary action taken against the respondent, reinstating the punishment of removal from service. The Division Bench emphasized the seriousness of the offense of sexual harassment in the workplace and the need to maintain a safe and respectful working environment, especially for female employees.",1
42,"The respondent, a superior officer in the organization, was found guilty of molesting and attempting to physically assault Miss X, a subordinate employee. Despite her protests, the respondent pressured Miss X to accompany him to a hotel for dictation, where he made unwelcome sexual advances. The departmental authorities, after considering the evidence, removed the respondent from service due to his actions, which were deemed subversive of good discipline and created a hostile working environment for Miss X and other female employees.",1
43,"The case involves a motor accident in which a jeep overturned due to the bursting of its front tire, resulting in the death of a pedestrian named Haji Mohammad Hanif. The widow and children of the deceased filed a claim petition before the Motor Accident Claims Tribunal seeking compensation. However, both the Tribunal and the High Court dismissed their claim, stating that there was no negligence or rashness on the part of the jeep driver.

The appellants appealed to the Supreme Court, arguing that the owner of the jeep should be held liable for compensation under the principle of strict liability propounded in Rylands vs. Fletcher. The Supreme Court, after considering relevant provisions of the Motor Vehicles Act and precedents, held that even if there is no negligence on the part of the driver or owner, compensation can still be claimed for accidents involving motor vehicles. The Court also discussed the applicability of the Rule in Rylands vs. Fletcher to motor accident cases.

The Court concluded that the claimants were entitled to compensation and fixed the amount based on the structured formula provided in the Motor Vehicles Act. Additionally, the Court directed the insurance company to pay the compensation amount along with simple interest.",1
44,"In this case, the petitioner, a resident of Delhi, challenged an order of detention issued against him under the Tamil Nadu Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Forest offenders, Gonndas, Immoral traffic offenders and Slum grabbers Act, 1982 (Tamil Nadu Act 14 of 1982). The petitioner was detained based on a solitary instance of robbery.

The petitioner argued that the solitary instance mentioned in the grounds of detention was not of sufficient magnitude to disturb public order, and his detention violated his fundamental rights under Articles 21 and 22(5) of the Constitution of India.

The State, represented by the Commissioner of Police, contended that the petitioner was involved in multiple cases of theft and robbery, and his detention was necessary to prevent him from engaging in similar activities in the future, which would disturb public order.",1
45,"This case involves two criminal appeals challenging an order made by the High Court of Judicature at Patna granting bail to the respondent in Sessions Trial No. 976 of 1999 pending before the CBI court. The respondent is charged with offenses under various sections of the Indian Penal Code (IPC) and the Arms Act.

The respondent had filed multiple bail applications, all of which were either rejected by the High Court or overturned by the Supreme Court in earlier appeals. Despite this, the respondent filed a ninth bail application, which was granted by the High Court on the grounds of prolonged incarceration and delay in trial proceedings.

The appellants argued that the High Court ignored previous findings of the Supreme Court and failed to consider the seriousness of the charges and the respondent's behavior during previous periods of bail. They contended that the grant of bail was unwarranted.

The respondent's counsel argued that the right to liberty is fundamental, and successive bail applications are permissible. They asserted that the High Court properly considered the evidence and concluded that there was no prima facie case against the respondent.

The Supreme Court examined whether previous bail applications had addressed the existence of a prima facie case against the respondent and the evidentiary value of a retracted confession. They found that the High Court's decision did not adequately consider these issues, leading to the granting of bail based on improper grounds.",0
46,"The case revolves around the death of Bhimabai, who was allegedly subjected to harassment by her husband and mother-in-law (the accused) for dowry. Bhimabai's father testified that she had complained about ill-treatment and demands for money from her parental home. On the day of her death, Bhimabai was found dead with froth coming out of her mouth, indicating poisoning. The post-mortem examination confirmed insecticide poisoning as the cause of death.

The prosecution charged the accused under Sections 498-A, 304-B, and 306 of the Indian Penal Code (IPC). The trial court acquitted them of charges under Sections 498-A and 306 but convicted them under Section 304-B, leading to a sentence of 7 years of rigorous imprisonment. The High Court upheld the conviction.

However, the Supreme Court examined the evidence and concluded that the essential element of dowry demand, as defined by the Dowry Prohibition Act, was not established. The alleged demand for money was for domestic expenses and manure, not directly linked to the marriage. Consequently, the conviction under Section 304-B IPC was set aside, and the appellants were acquitted.
",1
47,"In this case, disputes arose between the appellant and R.G. Bhat regarding their business dealings. As a result, the power of attorney granted by the appellant to R.G. Bhat was cancelled. Subsequently, a cheque issued by the appellant was dishonored, leading to a legal dispute. The complainant, who was the brother-in-law of R.G. Bhat, alleged that the appellant had committed an offense under Section 138 of the Negotiable Instruments Act by issuing a bounced cheque.

The trial court, as well as the appellate court, found the appellant guilty based on the presumption under Section 139 of the Act, which states that the issuance of a bounced cheque creates a mandatory presumption against the issuer. The courts primarily relied on the complainant's evidence and the appellant's failure to present a rebuttal.

However, the High Court, in its revisional jurisdiction, held that while the presumption under Section 139 extends to the issuance of the cheque for consideration, it does not presume the existence of a debt. The High Court found that the appellant had failed to discharge his initial burden of proof, but it also criticized the lower courts for not properly considering the appellant's defense and the overall factual circumstances of the case.",1
48,"The Union of India filed an appeal against the order of the High Court of Judicature at Allahabad, which suspended the sentence and granted bail to the respondent who was convicted under Sections 8/27A and 8/29 of the Narcotic Drugs and Psychotropic Substances Act, 1985 (NDPS Act). The trial court had found the respondent guilty of financing and trading in heroin. Despite the conviction, the High Court granted bail to the respondent.

The Union of India argued that the High Court erred in granting bail without considering the mandatory provisions of Section 37 of the NDPS Act. The section imposes restrictions and conditions for granting bail in cases under the NDPS Act.

The respondent contended that the High Court's order should not be interfered with, as it was discretionary and within the Court's jurisdiction.

The Supreme Court observed that the High Court had overlooked the requirements of Section 37 of the NDPS Act while granting bail. Section 37 lays down specific conditions for granting bail in NDPS cases, including giving an opportunity to the Public Prosecutor to oppose the release and ensuring that there are reasonable grounds to believe the accused is not guilty and will not commit any offense while on bail.

The Court held that the circumstances cited by the High Court for granting bail were not sufficient to satisfy the mandatory requirements of Section 37. Therefore, the High Court's order was unsustainable.",1
49,"In this case, the main issue revolves around the interpretation of Section 147 of the Income Tax Act, 1961, specifically concerning the concept of ""change of opinion."" The question at hand is whether the concept of ""change of opinion"" remains relevant after the amendment of Section 147 by the Direct Tax Laws (Amendment) Act, 1987.

Prior to the 1987 amendment, Section 147 allowed for reassessment based on specific conditions. However, post-amendment, only one condition remained, which was if the Assessing Officer had reason to believe that income had escaped assessment. This change widened the power of the Assessing Officer to reopen assessments.

The court emphasized the importance of interpreting the term ""reason to believe"" in a manner that prevents arbitrary use of power by the Assessing Officer. It stated that the concept of ""change of opinion"" acts as a check against abuse of power and should be treated as an inherent test.

The court also highlighted the distinction between the power to review and the power to reassess, noting that the Assessing Officer does not have the authority to review assessments but can only reassess them based on certain preconditions.

The judgment further discussed the legislative history and the reasons behind the reintroduction of the expression ""reason to believe"" and the removal of the term ""opinion"" in Section 147.

Ultimately, the court dismissed the civil appeals filed by the Department, affirming that there was no merit in their arguments. The case was dismissed with no order as to costs.",0
50,"The petitioner, a company manufacturing cigarettes, availed partial excise duty exemption under various notifications until the withdrawal notification (284/82-C.E.) was issued by the Central Government. The withdrawal notification rescinded the exemption, effective from November 30, 1982. However, the petitioner claimed that the withdrawal notification was only made available to the public on December 8, 1982. The petitioner contested that the withdrawal should only be effective from the date it was made known to the public. The government argued that the notification's printing in the official gazette was sufficient for it to take effect. The court examined legal precedents and concluded that for a notification to be effective, it must be made known to the public. As the withdrawal notification was not available to the public until December 8, 1982, it could only be considered effective from that date. Therefore, any duty collected before December 8, 1982, was deemed illegal, and the petitioner was entitled to a refund.",1
51,"The plaintiff filed a suit to recover one-sixth of the land from the defendant, alleging an exchange of land in 1861. The plaintiff claimed that they had been jointly enjoying the land with the defendant, sharing the produce, until a recent dispute arose. The defendant admitted to the exchange but argued that the plaintiff had relinquished their share in 1877  and entered into an agreement to convey it for a specified amount. The Subordinate Judge found in favor of the plaintiff, ordering an apportionment of land and awarding them a share of the produce. However, the District Judge on appeal ruled that certain documents presented by the plaintiff were inadmissible as evidence. The High Court upheld the District Judge's decision regarding the admissibility of the documents but modified the decree to award specific lands to the plaintiff and dismissed the claim for profits of a certain year. Costs were awarded proportionally to both parties based on the decree modifications.",1
52,"The dispute arose when Muslims applied to build a mosque in Sevvaipett, which was objected to by Hindus fearing disturbances during their processions near the mosque site. The Collector sanctioned the mosque's construction with conditions regarding procession passages and music cessation. Hindus protested and filed a suit contesting the order's legality and their right to conduct processions with music past the mosque. The Munsif's Court initially decreed in favor of Hindus, but it was reversed by the District Court and later restored with qualifications by the High Court on second appeal. The Sessions Judge criticized the High Court's decision, advocating for adherence to customary laws.",1
53,"The case involved a dispute over the maintainability of a suit brought by the decree-holder against the sons of the original debtor. The suit was to contest the order allowing the sale of ancestral property to satisfy a debt incurred by the father. The defendants argued that since a previous suit had resulted in a decree against the father and brother, the current suit was not maintainable. However, the court disagreed, stating that the previous suit did not address the specific issue of selling the interests of all family members in the ancestral property. Therefore, the decree-holder had the right to contest the order through a regular suit. Additionally, it was found that the debt was not for immoral purposes, making the sons' interests liable to sale unless they redeemed the unsold property. The court cited a ruling from the High Court of Calcutta to support its conclusion.",1
54,"The case involves a dispute over property ownership between the plaintiffs, who are widows, and the defendant, who claims to be the legitimate son of the deceased property owner. The plaintiffs seek a declaratory decree asserting their title to the property. The evidence presented regarding possession of the disputed lands is conflicting, with both parties presenting arguments and documents to support their claims. The plaintiffs argue that, as widows, they are entitled to succeed to the property unless the defendant can establish himself as the preferential heir. The defendant claims legitimacy based on a custom within his caste or family, which allegedly legitimizes children born out of wedlock under certain circumstances. However, the evidence for this custom is deemed insufficient by the court.",1
55,"The case involves a dispute over the adoption of Venkataramayya Appa Rao, the son of Raja Papamma Rao, by his stepmother, the 1st defendant. The plaintiff, Venkatadri Appa Rao, contests the validity of the adoption, claiming to be the rightful heir to the Zamindari of Nidadavole. The dispute centers on whether Venkataramayya's stepmother had the authority to make the adoption and whether Venkataramayya was eligible for adoption. Various arguments are presented regarding the interpretation of Hindu law texts and precedents.",0
56,"The case involves a dispute over the probate of a will purportedly left by Ponniya Muthu Nadathi, who passed away in June 1891. The appellant, her father, applied for probate, but the respondent, her husband, contested the authenticity of the will. The initial probate application was dismissed due to lack of instructions from the appellant's lawyer. Subsequently, the appellant made a second probate application, which was dismissed by the District Court on the grounds that a petition to set aside the previous order should have been filed first. The appellant then sought to set aside the order dismissing the original probate application, which was also rejected by the court.",1
57,"The case involves a dispute over the distribution of certain properties outlined in Schedule A. The plaintiff had previously accepted a monetary settlement for his share of the properties. The defendant argued that this settlement should be upheld and that the plaintiff should not be entitled to claim a share in specific items listed in Schedule A. Additionally, there was a dispute over the ownership of moveable assets.The court upheld the defendant's argument regarding the plaintiff's acceptance of a monetary settlement for his share of the properties. As a result, the plaintiff's claim to certain items listed in Schedule A was disallowed. The court confirmed the decision of the Subordinate Judge on other aspects of the case. The appellant (defendant) was awarded the costs of the appeal, while the award of costs in the lower courts remained unchanged.",0
58,"The appellant objected to the delivery of certain parcels of land in execution of a decree for the division of lands held in common by the parties. Both lower courts dismissed the application as barred by limitation. However, the appellant, being a minor at the time the right to apply accrued, argued that the application was timely under Section 7 of the Limitation Act. The respondent cited a Full Bench decision to argue against this, but the appellant contended that Section 7 applied to all applications for which a period of limitation is prescribed.",1
59,"This is an appeal under Article 15 of the Letters Patent against an order by Mr. Justice Boddam refusing a stay of execution. The appellant sought to challenge this order, but a preliminary objection was raised that no appeal lies as the order does not constitute a judgment within the meaning of Article 5 of the Letters Patent. The appellant argued that the order should be considered a ""decree"" under Section 244 of the Civil Procedure Code, thus making it appealable.The court upheld the preliminary objection, ruling that the order refusing a stay of execution does not affect the merits of the question between the parties by determining any right or liability in dispute. Therefore, it does not qualify as a judgment under the Letters Patent. The appeal was dismissed, and costs were awarded against the appellant.",0
60,"This appeal arose from a suit brought on a foreign judgment obtained in the Court at Pondicherry, based on a promissory note executed by the appellant in favor of the respondent. The appellant contested the suit on the grounds that the District Court lacked jurisdiction and that the suit was not maintainable against the appellant at the time it was brought. The main argument was that the appellant was declared insolvent in Pondicherry, and therefore, no suit could be brought against him outside of French territory where the insolvency adjudication remained in force.The court ruled in favor of the appellant, finding that the District Court lacked jurisdiction over the appellant and that the suit was not maintainable against him due to his insolvency status in French territory. The decree of the lower court was reversed, and the suit was dismissed with costs awarded to the appellant throughout.",1
61,"The issue revolved around the admissibility of a document containing a personal covenant to pay and purporting to be a mortgage, but not fulfilling the requirements of registration or attestation under relevant laws. The first question was whether such a document could be admitted as evidence of the contract to pay despite lacking registration, which was affirmed. The second question concerned the admissibility due to lack of attestation, with diverging views from different courts. Ultimately, the court concluded that Section 68 of the Indian Evidence Act did not apply to documents lacking attestation and affirmed the admissibility of such documents.",1
62,"The appellants were convicted for various offenses under the Indian Penal Code (IPC) related to assaulting and injuring the victim. The incident stemmed from a verbal altercation during a volleyball match. The victim suffered severe injuries including severed limbs. Both appellants challenged their convictions through multiple levels of appeal, but all were unsuccessful. However, the appellants later sought to compound their offenses based on a mutual resolution with the victim. Considering this, the Supreme Court reduced their sentences to the period already served, leading to their release.",1
63,"Anil Mahto and Jatu Mahto died from injuries in a land dispute assault. Appellants Mihir and Prabhat Gope, sons of Manohar Gope, were convicted of various IPC offenses including murder. The prosecution's case implicated members of the Gope family in the assault, leading to the deaths of Anil and Jatu. Despite discrepancies in witness testimonies, the trial court and High Court upheld the convictions. However, the Supreme Court acquitted the appellants of murder charges but convicted them under Section 324 IPC for causing hurt with weapons.",1
64,"The appellant was accused of firing at the complainant with a country-made pistol outside his house. However, discrepancies emerged in witness statements regarding the sequence of events, including the presence of the complainant's mother during the incident. Moreover, contradictions were noted in the testimony of witnesses regarding the seizure of the motorcycle allegedly used in the crime. The appellant denied the charges and provided an alibi, stating he was elsewhere at the time of the incident. The High Court, noting the lack of corroborating evidence and inconsistencies in the prosecution's case, acquitted the appellant.",1
65,"The prosecution alleged that the appellant and his associate were found hiding in a village, surrounded by police. After a confrontation, the appellant surrendered along with his associate, and firearms were recovered. Both were convicted by the trial court under Section 307/34 IPC read with Section 3/25(1B)(a) and Section 27/34 of the Arms Act. The High Court upheld the conviction, leading to an appeal. However, discrepancies arose in witness testimonies regarding the appellant's involvement in firing at the police. Independent witnesses did not support the prosecution's case, and doubts were raised regarding the arrest and seizure procedures. The Supreme Court ultimately acquitted the appellant of the charges under Section 307/34 IPC and Section 27 of the Arms Act, finding insufficient evidence to prove guilt beyond reasonable doubt.",1
66,"Two FIRs were registered regarding a violent incident involving the complainant seeking the return of money and a subsequent retaliatory attack resulting in casualties. Accusations of armed confrontation and indiscriminate firing were made by both parties involved. The accused sought bail, which was granted by the High Court, prompting the complainant to appeal. The Supreme Court set aside the bail orders and canceled the bail bonds, ordering the accused to be taken into custody. Additionally, the appeals related to anticipatory bail were dismissed, and interim orders were dissolved. The appellants were given the option to surrender and apply for regular bail, leaving all further considerations to the trial court or High Court.",0
67,"The appellant was convicted for the brutal rape and murder of a seven-year-old girl, whose body was recovered at his instance. Despite the defense's contentions, circumstantial evidence overwhelmingly implicated the appellant, including his last sighting with the victim and failure to explain his whereabouts convincingly. Both the Trial Court and the High Court upheld his conviction, concluding that the evidence met the standards set by precedents like Sharad Birdhichand Sarda. The Supreme Court, while rejecting the appeal against conviction, commuted the death sentence to life imprisonment with a minimum term of 30 years, considering factors such as the absence of criminal antecedents and the possibility of reformation.",0
68,"The court directed the appellant to perform certain actions, including visiting the complainant's house with Rakhi thread, sweets, and money, without influencing the pending trial. The appellant's submissions regarding inappropriate bail conditions and judicial remarks in cases of sexual offenses led to the court issuing directives to safeguard complainants and prevent stereotypical or patriarchal notions from influencing bail decisions. The court emphasized the need for sensitivity and gender sensitization in judicial proceedings and mandated training programs for judges and legal professionals on these issues.",1
69,"The appellant filed an FIR against several respondents for various offenses including murder. The Sessions Court denied bail to the respondents after considering the evidence and witness statements. However, the High Court granted bail to the respondents based on incorrect facts, stating that they were not named in the FIR and that witness statements were recorded belatedly. The appellant challenged this decision, arguing that the High Court erred in its assessment of the facts. The Supreme Court agreed with the appellant, quashing the High Court's bail order and directing the respondents to surrender. The Trial Court was instructed to proceed with the trial based on the evidence presented by both sides.",1
70,"The appellant and the deceased were involved in a scuffle allegedly triggered by the theft of a pigeon belonging to the appellant. During the altercation, the co-accused struck the deceased with a rod, resulting in his death. The High Court found that the incident was a sudden fight arising from a quarrel and not a premeditated act. Both the appellant and the deceased had consumed alcohol prior to the altercation. The High Court modified the appellant's conviction from Section 302 IPC to Section 304 Part-I IPC, considering it culpable homicide not amounting to murder. The appellant was sentenced to 12 years of rigorous imprisonment and fined Rs. 10,000 for the offense under Section 304 Part-I IPC. The appellant's conviction under Section 201 IPC and the corresponding sentence were upheld.",1
71,"The appellant, a victim of a road accident caused by the rash and negligent driving of a lorry insured by the second respondent, appealed against the compensation awarded for his disability sustained in the accident. The Tribunal found the accident was due to the lorry driver's negligence and determined the appellant's disability at 33%. However, it also found the appellant had contributed 50% negligence due to being under the influence of alcohol. The Tribunal awarded compensation based on a monthly income of Rs. 6,000 and a multiplier of 17, totaling Rs. 4,37,920. The High Court set aside the Tribunal's calculation for loss of earning and attendant charges, awarding higher amounts based on Supreme Court precedents. The appellant was directed to pay the requisite court fee within two weeks, failing which the Tribunal would deduct it from the compensation awarded. The Insurance company was directed to deposit the modified award amount within six weeks, and the Tribunal would transfer the sum to the appellant's account.",1
72,"The appellants, representing the legal heirs of the deceased K. Murugan, filed a claim petition seeking compensation for his death in an accident. The Tribunal re-quantified the compensation to Rs. 10,00,000, enhancing it from Rs. 3,50,000. The 2nd respondent was directed to pay the enhanced amount of Rs. 6,50,000 with 7.5% interest per annum within six weeks. The appellants were instructed to pay the deficit court fee on the enhanced amount. Since the 1st appellant (deceased) passed away during the appeal, the 2nd to 4th appellants were entitled to succeed to his estate and withdraw his share of the compensation. The appeal was allowed with no costs.",1
73,"The claimant filed a claim petition seeking compensation for injuries sustained in an accident involving a Bolero Jeep. The Insurance Company argued that the accident occurred due to the negligence of the truck driver. The Tribunal found that the claimant was not the owner of the vehicle but an employee of the company. It also analyzed the insurance policy terms, concluding that additional premium was required to cover liability to employees. The Court directed the IRDA to clarify certain queries regarding insurance coverage. Regarding compensation quantum, the claimant argued for a higher monthly income, supported by pay certificates and tax returns. The Court directed the Tribunal to transfer the awarded amount to the claimant's bank account and dismissed the claimant's appeal while allowing the Insurance Company's appeal.",0
74,"The writ petitioner, the son of a deceased government employee, sought compassionate appointment nine years after his father's death due to the family's financial difficulties. The petitioner argued that the delay was due to a ban on appointments. However, the court held that the delay was substantial and not justified. It emphasized that compassionate appointment is an exception and cannot be claimed as a legal right. The court also highlighted concerns about equal opportunity in public employment and the potential negative impact of expanding compassionate appointment schemes on merit-based selection processes. Ultimately, the court dismissed the writ petition, affirming the decision of the authorities.

Key Points:

The petitioner sought compassionate appointment nine years after his father's death.
The court rejected the argument that a ban on appointments justified the delay.
Compassionate appointment is considered an exception, not a legal right.
The court expressed concerns about equal opportunity and merit-based selection processes.
The court dismissed the writ petition, affirming the decision of the authorities.",0
75,"In this case, the petitioner filed a return of income for Assessment Year (AY) 2012-13, followed by a revised return. An intimation was issued under Section 143(1) of the Income Tax Act, denying the foreign tax credit claimed by the petitioner. Subsequently, a notice under Section 143(2) was issued, but assessment proceedings did not culminate in an order under Section 143(3).

The petitioner informed the assessing authority of the amalgamation of Asianet Communication Private Limited (ACPL) with Vijay Television Private Limited (VTPL), resulting in the formation of Asianet Star Communication Private Limited (ASCPL). The petitioner also changed its business address, which was duly intimated to the respondent.

Despite these notifications, a notice under Section 148 was issued in the name of ACPL to an address where no such entity existed. The petitioner, following the procedure outlined in the GKN Driveshafts case, submitted a revised return and sought reasons for the reassessment jurisdiction. The petitioner reiterated the merger and name change to ASCPL.

The reasons for reassessment included the claim of depreciation on computers and an alleged excess relief of tax credit under Section 90/91 of the Act. The petitioner objected to the assumption of jurisdiction, arguing that there was no new or tangible material warranting reassessment. The petitioner also contested the categorization of computers for depreciation purposes, stating that all computers should be classified under 'Machinery and Plant' for depreciation at 60%.",1
76,"Issue: The CIT(A) did not acknowledge that Explanation 5A to section u/s. 271(1)(c) of the Income Tax Act applies to the Assessee as additional income of Rs.1,58,98,570/- was disclosed in the return of income filed post-search, which was not declared in the original return of income.

Tribunal Decision: The Tribunal allowed the Revenue's appeal, restoring the penalty on two grounds: alleged non-disclosure of income and voluntary surrender of income. The Tribunal also restored the penalty for the disallowance of Rs.13,000/- under Section 40(a)(ia) of the Act.

Judicial Direction: It is decided that the AO should compute the penalty, considering the situation where no return was filed on 30.11.2006, while allowing credit for advance tax.",0
77,"The respondent filed two suits against the appellant: C.S. No. 831 of 2005 and C.S. No. 833 of 2005. These suits sought permanent injunctions against the appellant, preventing them from alienating or encumbering certain properties to third parties. The suits arose from agreements of sale dated 27.07.2005 between the parties. The appellant, citing a notice from the Central Excise Department, claimed inability to proceed with the sale transaction, leading to the respondent filing the suits for injunctions.

The court considered whether the suits should be rejected under Order VII Rule 11 of the Civil Procedure Code (CPC) due to the properties being outside the court's territorial jurisdiction. The court also addressed applications for amendment of the plaints and exclusion of certain periods for computing limitation. Ultimately, the court set aside previous orders and allowed the appeals, finding that the suits fell under the classification of ""suits for land"" and thus the court lacked territorial jurisdiction.",1
78,"The appellants, acting as legal representatives of the deceased K. Murugan, filed a claim petition seeking enhanced compensation for his death in an accident. The court re-quantified the compensation at Rs. 10,00,000/- and directed the second respondent to pay the enhanced amount of Rs. 6,50,000/- along with interest. Additionally, the appellants were directed to pay the deficit court fee on the enhanced compensation amount within two weeks. Since the first appellant (deceased) passed away during the appeal process, the second to fourth appellants were entitled to succeed to his estate equally and withdraw their respective shares. The court allowed the appeal and no costs were imposed.",1
79,"The accident occurred on 06.08.2009 at Pidagam Bridge, resulting in the death of one person and injuries to two others traveling in a Tata Indica Car. Claim petitions were filed, and the Tribunal adjudicated based on evidence provided. The Insurance Company argued that since the policy was an Act policy, there was no coverage for passengers. Relying on precedent cases, the court set aside the High Court's order and restored the Motor Accident Claims Tribunal's (M.A.C.T) decision. It emphasized that compensation should be sought from the vehicle owner, not the Insurance Company. The Civil Miscellaneous Appeal was allowed, permitting the claimants to execute the compensation award against the vehicle owner. The Insurance Company was allowed to withdraw the deposited amount with accrued interest. No costs were imposed.",0
80,"The accused was accused of beating his daughter with dangerous weapons and raping her multiple times, with the last incident occurring on 30.08.2013. Charges were framed under various sections of the Indian Penal Code (IPC) and the Juvenile Justice Act. The prosecution presented 12 witnesses and 16 documents as evidence, including forensic reports. The accused pleaded not guilty and denied the allegations during questioning under Section 313 of the Code of Criminal Procedure. The trial court found him guilty and sentenced him to life imprisonment under Section 376(2)(f) of the IPC. However, on appeal, the sentence was modified to 20 years of rigorous imprisonment.",1
81,"Petitioner is the sole accused in Crime No.667 of 2023 of Muzhakkunnu Police Station, Kannur District, alleging commission of offences under Sections 366A, 376, 354 and 354B of the Indian Penal Code and Sections 4, 3(b), 9(l) and 10 of the Protection of Children from Sexual Offences Act, 2012. The allegation against the petitioner is that the petitioner got acquainted with the minor victim aged 17 through social media and took her to various places and sexually abused her. In the month of March 2023, it is alleged that the petitioner took her to a deserted place and committed aggravated sexual assault on the minor victim.
",0
82,"The petitioner, accused No. 2 in a case arising from Crime No. 392/2021 of Kanjirappally Police Station, was granted statutory bail after the prosecution failed to file a final report within the statutory period. One condition of the bail was that the petitioner should not get involved in similar offenses during the bail period. However, the petitioner was later arrested in another case (Crime No. 521/2022) involving possession of ganja.",0
83,"The first accused was found traveling in a private bus and was allegedly in possession of MDMA. The police arrested him based on the information received and registered a case under the NDPS Act. The first accused implicated the fourth respondent, stating that they procured the contraband together from Bangalore with the help of others. The Sessions Judge granted bail to the fourth respondent, but the prosecution challenged this decision.",0
84,"The petitioner, who was the first accused in a case involving the transportation of ganja, was remanded to judicial custody on 24.11.2022. On the 180th day from the date of initial remand, an application was filed by the Public Prosecutor seeking an extension of detention for a further three months. However, the accused was not present when the application was considered by the Sessions Judge. The High Court held that the absence of the accused during the consideration of the application for detention beyond 180 days was illegal, as it went against the law laid down by the Supreme Court. Consequently, the order extending the detention period was deemed illegal, and the petitioner was granted default bail.",1
85,"The petitioner, the 24th accused in a case involving the transportation of a large quantity of heroin seized by the Coast Guard, was alleged to have facilitated the transportation and was subsequently arrested. The prosecution presented evidence suggesting the petitioner's involvement, including phone records and statements from bank employees. Despite arguments for bail, the court found that releasing the petitioner would be against the interest of society due to the seriousness of the charges and potential harm associated with drug trafficking. As a result, the bail application was dismissed.",0
86,"The case revolves around the legality of notifications issued under the Food Safety and Standards Act, particularly concerning the ban on the sale of certain products like pan masala or gutka. The appellants argued that such bans are unreasonable and violate their fundamental rights under Articles 14 and 19 of the Constitution. The court examined whether the impugned notifications exceeded the authority granted by the Act and whether they were consistent with constitutional principles.

Key Points:

The court rejected the argument that pan masala or gutka does not qualify as ""food"" under the Act.
It highlighted the paradoxical consequences of allowing local authorities to impose bans on food items, which could lead to inconsistent regulations across different areas.
The court emphasized that the power of the Food (Health) Authority is limited and temporary, not meant for broad and indefinite bans on food items.
The notifications were deemed ultra vires the Act and unconstitutional, violating the appellants' rights under Articles 14 and 19 of the Constitution.",1
87,"The case involves the prosecution of M/s. Pepsico India Holdings Pvt. Ltd. and its directors for selling Pepsi with traces of pesticide residue detected by the Public Analyst. The prosecution was initiated based on a complaint filed by the Food Inspector after purchasing the contaminated Pepsi bottles.
The Public Analyst's report confirmed the presence of Carbofuran pesticide residue in the Pepsi samples, rendering them adulterated under relevant laws.
The Chief Judicial Magistrate took cognizance of the offence and issued process against the appellants.
The appellants filed a petition in the Kerala High Court under Section 482 of the Cr.P.C. seeking to quash the magistrate's order. However, the High Court dismissed the petition, prompting the appellants to appeal against this decision.
The Supreme Court considered the nomination of Somesh Dahale as a person responsible for the company's business conduct.
The court concluded that the appeals should be allowed based on Dahale's nomination and set aside the High Court's judgment, thereby quashing the prosecution against the appellants.",1
88,"The case involves allegations of cruelty, harassment, and demand for dowry against the appellants, who are the sister and brother of the complainant's husband. The complainant filed an FIR against them, alleging various instances of mistreatment and abuse at her matrimonial home.
The complainant alleged that she faced mistreatment, harassment, and financial exploitation by her husband and in-laws, including the appellants.
The appellants filed a petition under Section 482 of the Cr.P.C. to quash the chargesheet and proceedings, citing mala fide intentions and lack of territorial jurisdiction for investigation.
The High Court dismissed their petition, prompting them to appeal to the Supreme Court.
The appellants argued that the FIR lacked prima facie evidence against them and that their involvement was casually included.
The Supreme Court observed that the FIR did not disclose any material constituting an offense against the appellants and that their involvement appeared to be a casual inclusion.
Considering the lack of prima facie evidence against the appellants, the Supreme Court quashed the proceedings initiated against them.
The Supreme Court overruled the High Court's order and allowed the appeal, thereby setting aside the criminal proceedings against the appellants.",1
89,"In a case regarding the custody of minor children, the Supreme Court addressed a habeas corpus petition filed by the father. , directing that the children be returned to the USA. The court noted that while the petition was being heard, another related writ petition was pending regarding jurisdiction issues. However, the court decided not to merge the two petitions as they could be addressed separately.

The court considered the welfare of the children and observed that harm to them was not anticipated if they were returned to the jurisdiction of the court in the USA. It emphasized maintaining the child's comfort and happiness by facilitating contact with both parents, even if one parent has custody in India.

The court highlighted the directions given by the Superior Court in Arizona, USA, regarding shared parenting time and access to both parents. It concluded that even if the current petition was allowed, the arrangements made by the Superior Court would ensure the child's well-being and access to both parents during legal proceedings.

The court issued specific directions for the respondent to return the child to the jurisdiction of the Superior Court in Arizona within a specified time frame, including arrangements for travel, accommodation, and expenses. It also emphasized cooperation between the parties and swift disposal of legal proceedings for the child's welfare.",1
