Scenario,Law,Similarity
"My father, Shri Azhar Hussain, organized a cultural event as a Minister in Maharashtra. He invited artists, Raja Murad and Javed Khan, through official letters. However, the prosecution claims these letters were forged, as they lacked his signature. The event went ahead, but later a controversy erupted, leading to a CBI investigation. We're concerned about the accusations of forgery and want to understand the legal implications and how to proceed.","The Indian Stamp Act, 1889: This act deals with the use of revenue stamps on various documents to generate government revenue. While official documents might require stamps in certain situations, the scenario doesn't mention any specific stamp-related issue relevant to the case.",0
"My brothers and I were working at our shop when a group of ten men, including Chhaju Khan and others, attacked us. They specifically targeted my brother, Hotilal, with the intent to kill him, and also assaulted the rest of us, causing injuries. They stole 600 rupees and some documents from the shop, and even damaged the property. We're appealing for justice and want to know what legal options we have against these attackers.","IPC Sections 307: Attempt to Murder, 323, 324, 325, 326: Assault and Grievous Hurt - These sections address the violent assault with intent to cause death and various degrees of physical injury.",1
"My brothers and I were working at our shop when a group of ten men, including Chhaju Khan and others, attacked us. They specifically targeted my brother, Hotilal, with the intent to kill him, and also assaulted the rest of us, causing injuries. They stole 600 rupees and some documents from the shop, and even damaged the property. We're appealing for justice and want to know what legal options we have against these attackers.",IPC Section 392: Robbery - This section criminalizes the theft of property along with the use of force or the threat of force.,1
"My brothers and I were working at our shop when a group of ten men, including Chhaju Khan and others, attacked us. They specifically targeted my brother, Hotilal, with the intent to kill him, and also assaulted the rest of us, causing injuries. They stole 600 rupees and some documents from the shop, and even damaged the property. We're appealing for justice and want to know what legal options we have against these attackers.","The Foreign Marriage Act, 1969: This act governs marriages between Indian citizens and foreign nationals. It has no connection to the described events of assault and theft within the country.",0
"Someone posted a negative review about my business online, claiming I provided poor service. The review is completely false and is damaging my reputation. What can I do?","The Copyright Act, 1957: This act protects the rights of creators of original works like literature, music, and software. The scenario doesn't involve any creative work being stolen or infringed upon, making this law irrelevant.",0
"I recently discovered that my ex-partner, whom I believed to be single, has been married this entire time! They never disclosed this during our relationship. Not only did they lie about their marital status, but I also suspect they forged documents to hide their existing marriage. I'm feeling hurt, betrayed, and confused. What legal options do I have in this situation?","Indian Penal Code (IPC) - Section 120B (Criminal Conspiracy): This section covers conspiracy to commit an offense. If the individuals conspired to circumvent the Ordinance by making false statements, this section could apply.",1
"I recently discovered that my ex-partner, whom I believed to be single, has been married this entire time! They never disclosed this during our relationship. Not only did they lie about their marital status, but I also suspect they forged documents to hide their existing marriage. I'm feeling hurt, betrayed, and confused. What legal options do I have in this situation?",IPC - Sections 420 (Cheating) & 467 (Forgery of valuable security): Making false claims to secure money (exchange of banknotes) could fall under cheating. Forging records or other documentation to support these claims could constitute forgery.,1
"I recently discovered that my ex-partner, whom I believed to be single, has been married this entire time! They never disclosed this during our relationship. Not only did they lie about their marital status, but I also suspect they forged documents to hide their existing marriage. I'm feeling hurt, betrayed, and confused. What legal options do I have in this situation?","The Consumer Protection Act (2019): This act aims to protect consumer rights and interests. It wouldn't be directly applicable here as the scenario focuses on a potential attempt to bypass demonetization regulations and alleged forgery, not relating to consumer transactions.",0
"I recently discovered that my ex-partner, whom I believed to be single, has been married this entire time! They never disclosed this during our relationship. Not only did they lie about their marital status, but I also suspect they forged documents to hide their existing marriage. I'm feeling hurt, betrayed, and confused. What legal options do I have in this situation?","Indian Penal Code (IPC) - Section 494 (Bigamy): This section criminalizes marrying again while a previous spouse is still living. As the scenario describes the appellant marrying a second time without divorcing his first wife, this section would be directly applicable.",1
"I recently discovered that my ex-partner, whom I believed to be single, has been married this entire time! They never disclosed this during our relationship. Not only did they lie about their marital status, but I also suspect they forged documents to hide their existing marriage. I'm feeling hurt, betrayed, and confused. What legal options do I have in this situation?","IPC - Section 109 (Abetment): This section outlines punishment for those who abet the commission of a crime. In this case, if the second wife (Vishna Devi) knowingly participated in the bigamous marriage, she could be considered an abettor.",1
"I recently discovered that my ex-partner, whom I believed to be single, has been married this entire time! They never disclosed this during our relationship. Not only did they lie about their marital status, but I also suspect they forged documents to hide their existing marriage. I'm feeling hurt, betrayed, and confused. What legal options do I have in this situation?","The Wildlife (Protection) Act, 1972: This act focuses on the protection of wild animals and plants, the establishment of sanctuaries and national parks, and regulations on hunting and trade of wildlife. It has absolutely no relevance to the scenario of bigamy and abetment.",0
"I recently hired a contractor to renovate my kitchen. We signed a contract outlining the work to be done and the agreed-upon price. However, during the project, the contractor started requesting additional funds for unexpected materials and changes. I hesitantly agreed, trusting their expertise. Upon completion, I discovered the work quality was poor, and some of the promised materials seem to be missing. I suspect the contractor might have inflated costs or used subpar materials. What legal options do I have in this situation?","Indian Contract Act, 1872 - Specifies the requirements for a valid contract, including payment terms.",1
"I recently hired a contractor to renovate my kitchen. We signed a contract outlining the work to be done and the agreed-upon price. However, during the project, the contractor started requesting additional funds for unexpected materials and changes. I hesitantly agreed, trusting their expertise. Upon completion, I discovered the work quality was poor, and some of the promised materials seem to be missing. I suspect the contractor might have inflated costs or used subpar materials. What legal options do I have in this situation?","Indian Penal Code (IPC): Sections on cheating (420), criminal breach of trust (406), or potentially criminal conspiracy (120B). Applicability depends on establishing intent to defraud.",1
"I recently hired a contractor to renovate my kitchen. We signed a contract outlining the work to be done and the agreed-upon price. However, during the project, the contractor started requesting additional funds for unexpected materials and changes. I hesitantly agreed, trusting their expertise. Upon completion, I discovered the work quality was poor, and some of the promised materials seem to be missing. I suspect the contractor might have inflated costs or used subpar materials. What legal options do I have in this situation?","Indian Evidence Act, 1872: Deals with the burden of proof and how evidence is presented in court. Will be relevant in determining who needs to prove the transaction's details.",1
"I recently hired a contractor to renovate my kitchen. We signed a contract outlining the work to be done and the agreed-upon price. However, during the project, the contractor started requesting additional funds for unexpected materials and changes. I hesitantly agreed, trusting their expertise. Upon completion, I discovered the work quality was poor, and some of the promised materials seem to be missing. I suspect the contractor might have inflated costs or used subpar materials. What legal options do I have in this situation?",The Information Technology Act (2000): This Act focuses on offenses related to computers and electronic communication. The scenario deals with a property transaction and doesn't involve electronic elements.,0
"I recently hired a contractor to renovate my kitchen. We signed a contract outlining the work to be done and the agreed-upon price. However, during the project, the contractor started requesting additional funds for unexpected materials and changes. I hesitantly agreed, trusting their expertise. Upon completion, I discovered the work quality was poor, and some of the promised materials seem to be missing. I suspect the contractor might have inflated costs or used subpar materials. What legal options do I have in this situation?",The Hindu Marriage Act (1955): This Act governs various aspects of marriage within Hindu communities. It has no relevance to the property dispute between individuals.,0
"My neighbor and his visitor had an argument earlier today that unfortunately escalated. In the heat of the moment, they attacked them shoving him to the ground (Section 323). They then grabbed a metal pipe and struck him on the arm, causing a deep gash. I'm shaken and the visitor injured, and I'm here to understand what legal action he can take against them for this assault.",Indian Penal Code (IPC) Section 302: Murder - This is the primary law addressing murder in India. It defines murder as the intentional causing of death with the knowledge that the act is likely to cause death.,1
"My neighbor and his visitor had an argument earlier today that unfortunately escalated. In the heat of the moment, they attacked them shoving him to the ground (Section 323). They then grabbed a metal pipe and struck him on the arm, causing a deep gash. I'm shaken and the visitor injured, and I'm here to understand what legal action he can take against them for this assault.","IPC Sections 323, 324, 325, 326: Assault and Grievous Hurt - These sections cover various degrees of physical assault, ranging from voluntarily causing hurt to causing grievous hurt with dangerous weapons.",1
"My neighbor and his visitor had an argument earlier today that unfortunately escalated. In the heat of the moment, they attacked them shoving him to the ground (Section 323). They then grabbed a metal pipe and struck him on the arm, causing a deep gash. I'm shaken and the visitor injured, and I'm here to understand what legal action he can take against them for this assault.","The Wildlife Protection Act, 1972: This law focuses on protecting and conserving wildlife in India. It's completely irrelevant to the scenario involving assault and murder.",0
"My neighbor and his visitor had an argument earlier today that unfortunately escalated. In the heat of the moment, they attacked them shoving him to the ground (Section 323). They then grabbed a metal pipe and struck him on the arm, causing a deep gash. I'm shaken and the visitor injured, and I'm here to understand what legal action he can take against them for this assault.","The Information Technology Act, 2000: This act primarily deals with regulations concerning cyberspace and electronic information. It doesn't hold any relevance to the physical altercation described.",0
"""...accused No. 1 ran up from behind and gave a blow with an axe... Accused No. 2 was armed with a spear and the accused No. 3 with a Dharia... started giving blows to Falji""","IPC Sections 324, 326: Assault with Dangerous Weapons - These sections address the use of weapons like axes, spears, and Dharias to cause serious injuries.",1
"""Accused No. 1 ran up from behind and gave a blow with an axe to Falji on the left leg from behind... All the three accused started giving blows to Falji... Falji died on the spot.""","The Representation of the People Act, 1950: This act governs the conduct of elections in India, including voter registration and election campaigns. It holds no relevance to the violent incident described.",0
"""...accused No. 1 ran up from behind and gave a blow with an axe... Accused No. 2 was armed with a spear and the accused No. 3 with a Dharia... started giving blows to Falji""","The Indian Forest Act, 1927: This act primarily deals with the conservation and management of forests and forestry activities. It doesn't connect to the assault and theft in the scenario.",0
The State Government of Uttar Pradesh ordered the forfeiture of the book 'Ramayan: A True Reading' by Periyar EVR.,"Constitution of India, Article 19(1)(a): Freedom of speech and expression",1
"The government claims the book is ""sacrilegiously, outrageously objectionable"" and intended to ""outrage the religious feelings"" of Hindus.","Indian Penal Code (IPC) Section 295A: Punishment for deliberate and malicious acts intended to outrage religious feelings of any class by words, either spoken or written, or by signs or by visible representations or otherwise.",1
The government claims the book insults Hindu deities and religious beliefs.,"IPC Section 298: Uttering words, etc., with deliberate intent to wound the religious feelings of any person (or class).",0
"The book is said to contain ""scandalizing"" material.","The Public Order and Decency Act, 1860: Powers to take action against obscene publications",0
"On the night between August 19 and 20, 1967, a dacoity is said to have been committed in the house of one Bahar Husain in village Mian Ganj.",Indian Penal Code (IPC) Section 391: Punishment for dacoity,1
The report contains a detailed description of the articles alleged to have been looted.,IPC Section 411: Dishonestly receiving stolen property,0
"On the night between August 19 and 20, 1967, a dacoity is said to have been committed in the house of one Bahar Husain in village Mian Ganj.",IPC Section 457: Lurking house-trespass or house-breaking by night,1
The report contains a detailed description of the articles alleged to have been looted.,IPC Section 109: Abetment of offence if the act abetted is committed in consequence of the abetment,0
P1 was accused of misappropriating articles seized in connection with excise offences.,"The Excise Act, 1949: Regulates the production, storage, distribution, and sale of alcohol and other intoxicants.",1
"These articles included opium, bottles of liquor etc.","The Narcotic Drugs and Psychotropic Substances Act, 1985 (NDPS Act): Prohibits the production, cultivation, possession, sale, consumption, and import/export of narcotic drugs and psychotropic substances. (1)",1
"A sum of Rs. 9,284-1-0 was recovered from his house, said to be disproportionate to his income.","The Prevention of Corruption Act, 1988: Aims to prevent corruption by public servants.",1
P1 was alleged to have conspired with two other people.,Indian Penal Code (IPC) Section 120A: Punishment for criminal conspiracy to commit an offence punishable by law. (1),1
The prosecution charged P1 with dishonest misappropriation.,IPC Section 409: Criminal breach of trust by public servant,1
The prosecution charged P1 with dishonest misappropriation.,"IPC Section 427: Mischief causing damage to property. This section applies to acts causing damage to property, and is not relevant to the specific charge of dishonest misappropriation by a public servant.",0
P1 was alleged to have conspired with two other people.,"PC Section 268: Public nuisance.	This section addresses acts that annoy, inconvenience, or endanger the public, and doesn't apply to criminal conspiracy for specific offenses like misappropriation.",0
"I was at a friend's party last night, and I had a bit too much to drink. On my way home, a police officer stopped me because I was singing loudly and maybe stumbled a little. They arrested me for public intoxication. Is this fair?","The Indian Penal Code (IPC), 1860 (Section 290) Punishment for public nuisance in cases not otherwise provided for. Whoever commits a public nuisance in any case not otherwise punishable by this Code, shall be punished with fine which may extend to two hundred rupees.",1
"I was at a friend's party last night, and I had a bit too much to drink. On my way home, a police officer stopped me because I was singing loudly and maybe stumbled a little. They arrested me for public intoxication. Is this fair?","The IPC (Section 42) When any person who, in the presence of a police officer, has committed or has been accused of committing a non-cognizable offence refuses, on demand of such officer, to give his name and residence or gives a name or residence which such officer has reason to believe to be false, he may be arrested by such officer",0
"I recently underwent surgery, and something went wrong during the procedure. I have lasting complications, and I believe the doctor made a mistake. Can I take legal action?","The Consumer Protection Act, 2019, offers consumer rights and redressal mechanisms for getting a refund or replacement.",1
"I recently underwent surgery, and something went wrong during the procedure. I have lasting complications, and I believe the doctor made a mistake. Can I take legal action?","Indian Contract Act, 1872, When one person signifies to another his willingness to do or to abstain from doing anything, with a view to obtaining the assent of that other to such act or abstinence, he said to make a proposal",0
P3 was injured and became unconscious.,IPC Section 326: Punishment for voluntarily causing grievous hurt by dangerous weapons or means,1
An FIR (First Information Report) was lodged at the police station.,"Code of Criminal Procedure, 1973: Defines the procedure for reporting cognizable offenses to the police.",0
The marriage was to be solemnized in village Janephal.,"The Hindu Marriage Act, 1955: Governs the registration, solemnization, and voiding of Hindu marriages.",0
Ram Kishan and his wife Prabhawati's son Hem Chand died in an accident.,"The Fatal Accidents Act, 1956: Provides compensation to dependents of those who die due to accidents caused by others. (",1
The accident involved bus UTB-109 belonging to U.P. State Roadways Transport Corporation.,"The Motor Vehicles Act, 1988: Regulates road transport and lays down rules for drivers and vehicles",1
Ram Kishan stated he was deeply bereaved and not in his senses due to the accident.,The Indian Penal Code (IPC) Section 304A: Causing death by negligence. ,1
Accused is charged with bigamy (second marriage).,The Indian Penal Code (IPC) Section 494: Punishment for marrying again during the lifetime of husband or wife. ,1
"The prosecution could not prove ""Sapatpadi"" (taking seven steps) as evidence of the second marriage.","The Hindu Marriage Act, 1955: Lays down the conditions for a valid Hindu marriage. While not explicitly mentioning ""Sapatpadi,"" it outlines specific requirements for a Hindu marriage ceremony. ",0
The defense argues that eyewitness accounts are sufficient proof of marriage.,"The Indian Evidence Act, 1872: Defines the rules for presenting evidence in court.",1
"I hired a plumber to fix a leak in my bathroom, but they made it worse. Can I sue them for damages?","The Motor Vehicles Act, 1956 (Section 181): While this act covers driving under the influence and related offenses, it wouldn't apply in this scenario where the accident was due to a product defect, not driver negligence",0
The accused demolished a wall and door of the house.,The Indian Penal Code (IPC) Section 427: Mischief causing damage to property. This section applies to acts causing damage to another person's property without lawful excuse.,1
The accused abused and attacked Bhanan Singh and others.,IPC Section 304A: Causing death by negligence.,0
